usage_id,account_id,usage_month,active_days,orders_processed,staff_logins,features_used_count,last_login_date
use_048,acct_024,2025-04-01,25,2044,132,11,2025-04-26
use_049,acct_025,2025-03-01,18,13085,70,8,2025-03-19
use_050,acct_025,2025-04-01,19,13902,81,7,2025-04-20
use_051,acct_026,2025-03-01,5,1478,5,2,2025-03-06
use_052,acct_026,2025-04-01,3,1055,16,3,2025-04-04
use_053,acct_027,2025-03-01,24,6471,142,11,2025-03-25
use_054,acct_027,2025-04-01,25,6828,128,10,2025-04-26
use_055,acct_028,2025-03-01,18,1634,91,7,2025-03-19
use_056,acct_028,2025-04-01,19,1806,77,8,2025-04-20
use_057,acct_029,2025-03-01,11,1162,25,5,2025-03-12
use_058,acct_029,2025-04-01,9,1109,36,4,2025-04-10
use_059,acct_030,2025-03-01,24,17670,138,10,2025-03-25
use_060,acct_030,2025-04-01,25,18487,149,11,2025-04-26
use_061,acct_031,2025-03-01,18,5123,87,8,2025-03-19
use_062,acct_031,2025-04-01,19,5480,73,7,2025-04-20
use_063,acct_032,2025-03-01,11,3356,46,4,2025-03-12
use_064,acct_032,2025-04-01,9,2933,32,5,2025-04-10
use_065,acct_033,2025-03-01,24,2349,134,11,2025-03-25
use_066,acct_033,2025-04-01,25,1921,145,10,2025-04-26
use_067,acct_034,2025-03-01,25,1877,141,10,2025-03-26
use_068,acct_034,2025-04-01,26,2049,152,11,2025-04-27
use_069,acct_035,2025-03-01,19,13735,90,8,2025-03-20
use_070,acct_035,2025-04-01,17,12392,76,7,2025-04-18
use_071,acct_036,2025-03-01,3,888,0,2,2025-03-04
use_072,acct_036,2025-04-01,4,1245,11,3,2025-04-05
use_073,acct_037,2025-03-01,25,6661,137,11,2025-03-26
use_074,acct_037,2025-04-01,26,7018,148,10,2025-04-27
use_075,acct_038,2025-03-01,19,1639,86,7,2025-03-20
use_076,acct_038,2025-04-01,17,1586,72,8,2025-04-18
use_077,acct_039,2025-03-01,9,942,45,5,2025-03-10
use_078,acct_039,2025-04-01,10,1114,31,4,2025-04-11
use_079,acct_040,2025-03-01,25,18320,133,10,2025-03-26
use_080,acct_040,2025-04-01,26,19137,144,11,2025-04-27
use_081,acct_041,2025-03-01,19,5313,82,8,2025-03-20
use_082,acct_041,2025-04-01,17,4890,93,7,2025-04-18
use_083,acct_042,2025-03-01,9,2766,41,4,2025-03-10
use_084,acct_042,2025-04-01,10,3123,27,5,2025-04-11
use_085,acct_043,2025-03-01,25,2354,129,11,2025-03-26
use_086,acct_043,2025-04-01,26,2526,140,10,2025-04-27
use_087,acct_044,2025-03-01,26,2482,136,10,2025-03-27
use_088,acct_044,2025-04-01,24,1829,147,11,2025-04-25
use_089,acct_045,2025-03-01,17,12825,85,8,2025-03-18
use_090,acct_045,2025-04-01,18,13042,71,7,2025-04-19
use_091,acct_046,2025-03-01,4,1078,20,2,2025-03-05
use_092,acct_046,2025-04-01,5,1435,6,3,2025-04-06
use_093,acct_047,2025-03-01,26,6851,132,11,2025-03-27
use_094,acct_047,2025-04-01,24,6428,143,10,2025-04-25
use_095,acct_048,2025-03-01,17,1419,81,7,2025-03-18
use_096,acct_048,2025-04-01,18,1591,92,8,2025-04-19
use_097,acct_049,2025-03-01,10,947,40,5,2025-03-11
use_098,acct_049,2025-04-01,11,1119,26,4,2025-04-12
use_099,acct_050,2025-03-01,26,18970,128,10,2025-03-27
use_100,acct_050,2025-04-01,24,17627,139,11,2025-04-25
use_101,acct_051,2025-03-01,17,4723,77,8,2025-03-18
use_102,acct_051,2025-04-01,18,5080,88,7,2025-04-19
use_103,acct_052,2025-03-01,10,2956,36,4,2025-03-11
use_104,acct_052,2025-04-01,11,3313,22,5,2025-04-12
use_105,acct_053,2025-03-01,26,2359,149,11,2025-03-27
use_106,acct_053,2025-04-01,24,2306,135,10,2025-04-25
use_107,acct_054,2025-03-01,24,2262,131,10,2025-03-25
use_108,acct_054,2025-04-01,25,2434,142,11,2025-04-26
use_109,acct_055,2025-03-01,18,13475,80,8,2025-03-19
use_110,acct_055,2025-04-01,19,13692,91,7,2025-04-20
use_111,acct_056,2025-03-01,5,1868,15,2,2025-03-06
use_112,acct_056,2025-04-01,3,845,1,3,2025-04-04
use_113,acct_057,2025-03-01,24,6261,152,11,2025-03-25
use_114,acct_057,2025-04-01,25,6618,138,10,2025-04-26
use_115,acct_058,2025-03-01,18,1424,76,7,2025-03-19
use_116,acct_058,2025-04-01,19,1596,87,8,2025-04-20
use_117,acct_059,2025-03-01,11,952,35,5,2025-03-12
use_118,acct_059,2025-04-01,9,899,46,4,2025-04-10
use_119,acct_060,2025-03-01,24,17460,148,10,2025-03-25
use_120,acct_060,2025-04-01,25,18277,134,11,2025-04-26
use_121,acct_061,2025-03-01,18,4913,72,8,2025-03-19
use_122,acct_061,2025-04-01,19,5270,83,7,2025-04-20
use_123,acct_062,2025-03-01,11,3146,31,4,2025-03-12
use_124,acct_062,2025-04-01,9,2723,42,5,2025-04-10
use_125,acct_063,2025-03-01,24,2139,144,11,2025-03-25
use_126,acct_063,2025-04-01,25,2311,130,10,2025-04-26
use_127,acct_064,2025-03-01,25,2267,151,10,2025-03-26
use_128,acct_064,2025-04-01,26,2439,137,11,2025-04-27
use_129,acct_065,2025-03-01,19,14125,75,8,2025-03-20
use_130,acct_065,2025-04-01,17,12782,86,7,2025-04-18
use_131,acct_066,2025-03-01,3,1278,10,2,2025-03-04
use_132,acct_066,2025-04-01,4,1635,21,3,2025-04-05
use_133,acct_067,2025-03-01,25,7051,147,11,2025-03-26
use_134,acct_067,2025-04-01,26,6808,133,10,2025-04-27
use_135,acct_068,2025-03-01,19,1429,71,7,2025-03-20
use_136,acct_068,2025-04-01,17,1376,82,8,2025-04-18
use_137,acct_069,2025-03-01,9,732,30,5,2025-03-10
use_138,acct_069,2025-04-01,10,904,41,4,2025-04-11
use_139,acct_070,2025-03-01,25,18110,143,10,2025-03-26
use_140,acct_070,2025-04-01,26,18927,129,11,2025-04-27
use_141,acct_071,2025-03-01,19,5103,92,8,2025-03-20
use_142,acct_071,2025-04-01,17,4680,78,7,2025-04-18
use_143,acct_072,2025-03-01,9,2556,26,4,2025-03-10
use_144,acct_072,2025-04-01,10,2913,37,5,2025-04-11
use_145,acct_073,2025-03-01,25,2144,139,11,2025-03-26
use_146,acct_073,2025-04-01,26,2316,150,10,2025-04-27
use_147,acct_074,2025-03-01,26,2272,146,10,2025-03-27
use_148,acct_074,2025-04-01,24,2219,132,11,2025-04-25
use_149,acct_075,2025-03-01,17,12615,70,8,2025-03-18
use_150,acct_075,2025-04-01,18,13432,81,7,2025-04-19
use_151,acct_076,2025-03-01,4,1468,5,2,2025-03-05
use_152,acct_076,2025-04-01,5,1825,16,3,2025-04-06
use_153,acct_077,2025-03-01,26,7241,142,11,2025-03-27
use_154,acct_077,2025-04-01,24,6818,128,10,2025-04-25
use_155,acct_078,2025-03-01,17,1809,91,7,2025-03-18
use_156,acct_078,2025-04-01,18,1381,77,8,2025-04-19
use_157,acct_079,2025-03-01,10,1337,25,5,2025-03-11
use_158,acct_079,2025-04-01,11,909,36,4,2025-04-12
use_159,acct_080,2025-03-01,26,18760,138,10,2025-03-27
use_160,acct_080,2025-04-01,24,17417,149,11,2025-04-25
use_161,acct_081,2025-03-01,17,4513,87,8,2025-03-18
use_162,acct_081,2025-04-01,18,4870,73,7,2025-04-19
use_163,acct_082,2025-03-01,10,2746,46,4,2025-03-11
use_164,acct_082,2025-04-01,11,3103,32,5,2025-04-12
use_165,acct_083,2025-03-01,26,2149,134,11,2025-03-27
use_166,acct_083,2025-04-01,24,2096,145,10,2025-04-25
use_167,acct_084,2025-03-01,24,2052,141,10,2025-03-25
use_168,acct_084,2025-04-01,25,2224,152,11,2025-04-26
use_169,acct_085,2025-03-01,18,13265,90,8,2025-03-19
use_170,acct_085,2025-04-01,19,14082,76,7,2025-04-20
use_171,acct_086,2025-03-01,5,1658,0,2,2025-03-06
use_172,acct_086,2025-04-01,3,1235,11,3,2025-04-04
use_173,acct_087,2025-03-01,24,6651,137,11,2025-03-25
use_174,acct_087,2025-04-01,25,7008,148,10,2025-04-26
use_175,acct_088,2025-03-01,18,1814,86,7,2025-03-19
use_176,acct_088,2025-04-01,19,1986,72,8,2025-04-20
use_177,acct_089,2025-03-01,11,1342,45,5,2025-03-12
use_178,acct_089,2025-04-01,9,689,31,4,2025-04-10
use_179,acct_090,2025-03-01,24,17850,133,10,2025-03-25
use_180,acct_090,2025-04-01,25,18067,144,11,2025-04-26
use_181,acct_091,2025-03-01,18,4703,82,8,2025-03-19
use_182,acct_091,2025-04-01,19,5060,93,7,2025-04-20
use_183,acct_092,2025-03-01,11,2936,41,4,2025-03-12
use_184,acct_092,2025-04-01,9,2513,27,5,2025-04-10
use_185,acct_093,2025-03-01,24,1929,129,11,2025-03-25
use_186,acct_093,2025-04-01,25,2101,140,10,2025-04-26
use_187,acct_094,2025-03-01,25,2057,136,10,2025-03-26
use_188,acct_094,2025-04-01,26,2229,147,11,2025-04-27
use_189,acct_095,2025-03-01,19,13915,85,8,2025-03-20
use_190,acct_095,2025-04-01,17,12572,71,7,2025-04-18
use_191,acct_096,2025-03-01,3,1068,20,2,2025-03-04
use_192,acct_096,2025-04-01,4,1425,6,3,2025-04-05
use_193,acct_097,2025-03-01,25,6841,132,11,2025-03-26
use_194,acct_097,2025-04-01,26,7198,143,10,2025-04-27
use_195,acct_098,2025-03-01,19,1819,81,7,2025-03-20
use_196,acct_098,2025-04-01,17,1766,92,8,2025-04-18
use_197,acct_099,2025-03-01,9,1122,40,5,2025-03-10
use_198,acct_099,2025-04-01,10,1294,26,4,2025-04-11
use_199,acct_100,2025-03-01,25,18500,128,10,2025-03-26
use_200,acct_100,2025-04-01,26,19317,139,11,2025-04-27
