account_id,account_name,segment,region,plan_tier,mrr,product_usage_score,payment_health_score,support_experience_score,customer_success_engagement_score,health_score,risk_level,main_risk_driver
acct_098,Juniper Food Hall,SMB,Asia Pacific,Starter,1676.0,59.63214285714285,100.0,100.0,56,77.1,Watch,Healthy usage and engagement
acct_031,Golden Table,Mid-Market,Europe,Pro,5341.0,59.964285714285715,100.0,100.0,56,77.2,Watch,Healthy usage and engagement
acct_058,Atlas Cafe Group,SMB,Asia Pacific,Starter,1596.0,60.114285714285714,100.0,100.0,56,77.2,Watch,Healthy usage and engagement
acct_088,Maple Restaurant Co,SMB,North America,Starter,1206.0,59.864285714285714,100.0,100.0,56,77.2,Watch,Healthy usage and engagement
acct_085,Foundry Restaurant Co,Enterprise,Latin America,Enterprise,22795.0,60.26428571428572,100.0,100.0,56,77.3,Watch,Healthy usage and engagement
acct_028,Clover Table,SMB,North America,Starter,1086.0,60.364285714285714,100.0,100.0,56,77.3,Watch,Healthy usage and engagement
acct_055,Maple Hospitality,Enterprise,Europe,Enterprise,17185.0,60.51428571428572,100.0,100.0,56,77.4,Watch,Healthy usage and engagement
acct_091,Atlas Food Hall,Mid-Market,Europe,Pro,5701.0,60.714285714285715,100.0,100.0,56,77.4,Watch,Healthy usage and engagement
acct_001,Northstar Bistro,Mid-Market,North America,Pro,4200.0,75.38690476190476,100.0,100.0,34,78.2,Watch,Healthy usage and engagement
acct_011,Cedar Table Group,Enterprise,North America,Enterprise,16200.0,96.35595238095237,100.0,100.0,12,81.1,Healthy,CSM risk note
acct_008,Prime Plate Hospitality,Enterprise,North America,Enterprise,18500.0,100.0,100.0,100.0,34,86.8,Healthy,Healthy usage and engagement
acct_002,Harbor Sushi Group,Enterprise,North America,Enterprise,14200.0,100.0,100.0,100.0,34,86.8,Healthy,Healthy usage and engagement
acct_027,Canyon Table,Mid-Market,Europe,Pro,3697.0,83.5,100.0,100.0,68,87.8,Healthy,Healthy usage and engagement
acct_093,Canyon Food Hall,SMB,Latin America,Starter,991.0,83.45,100.0,100.0,68,87.8,Healthy,Healthy usage and engagement
acct_090,Amber Food Hall,Enterprise,Asia Pacific,Enterprise,20430.0,83.85,100.0,100.0,68,87.9,Healthy,Healthy usage and engagement
acct_063,Foundry Cafe Group,SMB,Europe,Starter,1381.0,83.7,100.0,100.0,68,87.9,Healthy,Healthy usage and engagement
acct_054,Juniper Hospitality,SMB,Asia Pacific,Starter,1048.0,83.65,100.0,100.0,68,87.9,Healthy,Healthy usage and engagement
acct_060,Canyon Cafe Group,Enterprise,North America,Enterprise,14820.0,84.1,100.0,100.0,68,88.0,Healthy,Healthy usage and engagement
acct_024,Amber Table,SMB,North America,Starter,1438.0,83.9,100.0,100.0,68,88.0,Healthy,Healthy usage and engagement
acct_033,Maple Table,SMB,Latin America,Starter,871.0,83.95,100.0,100.0,68,88.0,Healthy,Healthy usage and engagement
acct_050,Clover Hospitality,Enterprise,Asia Pacific,Enterprise,19550.0,84.33214285714286,100.0,100.0,68,88.1,Healthy,Healthy usage and engagement
acct_030,Foundry Table,Enterprise,Asia Pacific,Enterprise,19110.0,84.35,100.0,100.0,68,88.1,Healthy,Healthy usage and engagement
acct_087,Juniper Restaurant Co,Mid-Market,Europe,Pro,4057.0,84.25,100.0,100.0,68,88.1,Healthy,Healthy usage and engagement
acct_020,Golden Kitchen,Enterprise,North America,Enterprise,13940.0,84.58214285714286,100.0,100.0,68,88.2,Healthy,Healthy usage and engagement
acct_077,Maple Dining Collective,Mid-Market,Latin America,Pro,5347.0,84.48214285714286,100.0,100.0,68,88.2,Healthy,Healthy usage and engagement
acct_057,Amber Cafe Group,Mid-Market,Latin America,Pro,5227.0,84.5,100.0,100.0,68,88.2,Healthy,Healthy usage and engagement
acct_084,Ember Restaurant Co,SMB,North America,Starter,1558.0,84.65,100.0,100.0,68,88.2,Healthy,Healthy usage and engagement
acct_017,Clover Kitchen,Mid-Market,Latin America,Pro,4987.0,84.98214285714286,100.0,100.0,68,88.3,Healthy,Healthy usage and engagement
acct_047,Atlas Hospitality,Mid-Market,Europe,Pro,3817.0,84.73214285714286,100.0,100.0,68,88.3,Healthy,Healthy usage and engagement
acct_083,Clover Restaurant Co,SMB,Europe,Starter,1421.0,84.93214285714286,100.0,100.0,68,88.3,Healthy,Healthy usage and engagement
acct_074,Foundry Dining Collective,SMB,Asia Pacific,Starter,1088.0,84.88214285714287,100.0,100.0,68,88.3,Healthy,Healthy usage and engagement
acct_044,Maple Bistro,SMB,North America,Starter,1478.0,85.13214285714287,100.0,100.0,68,88.4,Healthy,Healthy usage and engagement
acct_053,Golden Hospitality,SMB,Latin America,Starter,911.0,85.18214285714286,100.0,100.0,68,88.4,Healthy,Healthy usage and engagement
acct_070,Bluebird Dining Collective,Enterprise,Asia Pacific,Enterprise,19990.0,85.56428571428572,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_100,Orchard Food Hall,Enterprise,North America,Enterprise,15700.0,85.31428571428572,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_080,Atlas Restaurant Co,Enterprise,North America,Enterprise,15260.0,85.33214285714286,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_043,Juniper Bistro,SMB,Europe,Starter,1341.0,85.41428571428573,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_023,Orchard Kitchen,SMB,Europe,Starter,1301.0,85.43214285714286,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_014,Atlas Kitchen,SMB,Asia Pacific,Starter,968.0,85.38214285714287,100.0,100.0,68,88.5,Healthy,Healthy usage and engagement
acct_040,Ember Bistro,Enterprise,North America,Enterprise,14380.0,85.81428571428572,100.0,100.0,68,88.6,Healthy,Healthy usage and engagement
acct_097,Golden Food Hall,Mid-Market,Latin America,Pro,5467.0,85.71428571428572,100.0,100.0,68,88.6,Healthy,Healthy usage and engagement
acct_013,Amber Kitchen,SMB,Latin America,Starter,1731.0,85.66428571428573,100.0,100.0,68,88.6,Healthy,Healthy usage and engagement
acct_067,Orchard Cafe Group,Mid-Market,Europe,Pro,3937.0,85.96428571428572,100.0,100.0,68,88.7,Healthy,Healthy usage and engagement
acct_094,Clover Food Hall,SMB,Asia Pacific,Starter,1128.0,86.11428571428573,100.0,100.0,68,88.7,Healthy,Healthy usage and engagement
acct_037,Bluebird Bistro,Mid-Market,Latin America,Pro,5107.0,86.21428571428572,100.0,100.0,68,88.8,Healthy,Healthy usage and engagement
acct_064,Golden Cafe Group,SMB,North America,Starter,1518.0,86.36428571428573,100.0,100.0,68,88.8,Healthy,Healthy usage and engagement
acct_073,Ember Dining Collective,SMB,Latin America,Starter,951.0,86.41428571428573,100.0,100.0,68,88.8,Healthy,Healthy usage and engagement
acct_034,Orchard Table,SMB,Asia Pacific,Starter,1008.0,86.61428571428573,100.0,100.0,68,88.9,Healthy,Healthy usage and engagement
